time,close,MACD_hist,Bullish_divergence,Buy_price,Bearish_divergence,Sell_price
2020-07-23,8.1,0.005143605894188483,0,,-1,8.1
2020-07-24,7.7,-0.026004219823278177,0,,-1,7.7
2020-09-23,9.24,0.025950021404569673,0,,-1,9.24
2021-04-15,20.59,-0.06823072064105795,0,,-1,20.59
2021-07-01,29.13,0.15007776941320605,0,,-1,29.13
2021-07-07,26.84,-0.06686222490260585,0,,-1,26.84
2021-10-29,29.85,-0.02535835132946196,1,29.85,0,
2021-11-29,38.77,0.06933522153353255,0,,-1,38.77
2021-12-27,33.81,-0.23572010425918505,1,33.81,0,
2021-12-28,33.81,-0.19346919059928358,1,33.81,0,
2021-12-29,34.63,-0.10232234414049463,1,34.63,0,
2021-12-30,37.24,0.12916028897420956,1,37.24,0,
2022-02-08,33.9,0.10272813774900391,1,33.9,0,
2022-04-08,32.82,-0.04412065111956301,0,,-1,32.82
2022-05-18,18.21,-0.19986035647652844,1,18.21,0,
2022-05-19,19.39,0.018715010696413348,1,19.39,0,
2022-06-24,16.32,-0.004802588450041556,1,16.32,0,
2022-06-27,17.04,0.11056854113280878,1,17.04,0,
2022-08-25,22.27,0.1605708169652874,0,,-1,22.27
2022-08-26,21.73,0.08687155245319866,0,,-1,21.73
2022-08-29,21.19,-0.0073598605838963715,0,,-1,21.19
2022-10-06,16.99,-0.02465843113153865,1,16.99,0,
2022-10-07,16.24,-0.03989992760823824,1,16.24,0,
2022-10-31,15.58,-0.045058208706844516,1,15.58,0,
2022-12-23,17.65,0.16308553984160779,0,,-1,17.65
2022-12-26,15.96,0.03319582250250708,0,,-1,15.96
2023-03-07,15.96,-0.04379107784296277,1,15.96,0,
2023-03-09,16.24,0.002257860727409633,1,16.24,0,
2023-05-26,21.43,-0.007002629234976299,0,,-1,21.43
2023-06-06,23.13,0.012065240977897518,0,,-1,23.13
2023-07-26,24.64,-0.014242435406436216,0,,-1,24.64
2023-10-12,26.0,0.06195628039407211,0,,-1,26.0
2023-11-03,23.15,-0.04192026240016089,1,23.15,0,
2023-12-01,24.52,0.004298688652037877,0,,-1,24.52
2023-12-11,24.92,0.034505354874719646,0,,-1,24.92
2023-12-12,24.92,0.017710016206858747,0,,-1,24.92
2024-01-18,25.41,0.021229973445954536,0,,-1,25.41
2024-02-07,26.09,0.02816256940857162,0,,-1,26.09
2024-04-16,34.14,-0.1845405588628788,0,,-1,34.14
2024-06-11,46.79,-0.015687283383355233,0,,-1,46.79
2024-08-08,33.84,-0.15137329174091052,1,33.84,0,
2024-09-27,41.69,0.16857464281380274,0,,-1,41.69
2024-10-07,42.48,0.010637303294841693,0,,-1,42.48
2024-10-08,41.4,-0.09696121729362583,0,,-1,41.4
2024-12-23,37.2,-0.061169948849199796,1,37.2,0,
2024-12-26,37.8,0.0013180323723153697,1,37.8,0,
2025-01-21,34.0,-0.00891184701156178,1,34.0,0,
