time,open,high,low,close,volume,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist
2020-03-30,6.72,6.72,6.48,6.72,32330,,,,,
2020-03-31,6.72,6.81,6.4,6.4,52000,,,,,
2020-04-01,6.64,6.72,6.32,6.56,67900,,,,,
2020-04-03,6.72,6.97,6.56,6.97,70600,,,,,
2020-04-06,6.97,7.29,6.97,7.29,40949,,,,,
2020-04-07,7.13,7.37,6.97,7.21,74700,,,,,
2020-04-08,7.05,7.21,6.89,7.13,67910,,,,,
2020-04-09,7.13,7.21,7.05,7.21,169400,,,,,
2020-04-10,7.21,7.21,7.05,7.21,68400,,,,,
2020-04-13,7.13,7.37,7.05,7.29,94830,,,,,
2020-04-14,7.13,7.29,6.97,7.21,64160,,,,,
2020-04-15,7.21,7.37,7.21,7.29,65910,7.040833333333334,,,,
2020-04-16,7.21,7.29,7.05,7.29,124610,7.0791666666666675,,,,
2020-04-17,7.21,7.29,7.05,7.21,229560,7.099294871794872,,,,
2020-04-20,7.21,7.29,7.05,7.21,208060,7.116326429980276,,,,
2020-04-21,7.21,7.21,6.89,7.13,170600,7.118430056137157,,,,
2020-04-22,6.97,7.13,6.89,7.13,85899,7.120210047500671,,,,
2020-04-23,6.97,7.21,6.97,7.21,229290,7.134023886346721,,,,
2020-04-24,7.05,7.21,7.05,7.21,171009,7.145712519216456,,,,
2020-04-27,7.05,7.21,7.05,7.05,149530,7.130987516260078,,,,
2020-04-28,6.97,7.13,6.97,7.05,102815,7.118527898373912,,,,
2020-04-29,7.05,7.05,6.89,7.05,155500,7.107985144777926,,,,
2020-05-04,6.97,7.05,6.97,7.05,83310,7.099064353273629,,,,
2020-05-05,6.97,7.13,6.89,6.97,100585,7.07920829892384,,,,
2020-05-06,6.97,7.05,6.89,7.05,96800,7.074714714474018,,,,
2020-05-07,6.97,7.05,6.89,6.97,163987,7.058604758401092,7.079615384615386,,,
